county_ansi,year,pcp_win,pcp_prevND,tmin04,tmin05,tmin09,tmin10,tmax07,tmax08,tmax_jja,pdsi06,pdsi07,pdsi08,pdsi_jja,zndx07,zndx08,zndx_jja,pdsi_may
003,2005,10.99,10.22,47.3,52.5,62,46.8,88.7,90.7,88.8,-0.99,0.96,1.11,0.36,2.88,0.75,0.97,-0.84
003,2006,14.34,5.48,50.4,55.6,55,43.9,88.7,89.3,88.23,-0.62,0.81,1.19,0.46,2.44,1.38,0.88,-0.26
003,2007,11.37,9.91,43,58.7,61.4,51.4,87.6,95.8,90.3,-1.59,-1.68,-2.72,-2,-0.76,-3.64,-1.67,-1.55
003,2008,21.11,10.35,44.2,53.7,59.8,45.5,88.7,86.2,87.5,3.31,3.41,-0.2,2.17,1.32,-0.61,-0.09,4.06
003,2009,7.97,6.92,46.1,56.9,61.3,45.7,84.6,85.7,86.1,0.39,0.78,1.07,0.75,1.28,1.12,0.73,0.52
003,2010,9.88,6.88,50,59,58.8,44.4,91.3,93.2,91.83,-1.2,-1.49,-2.17,-1.62,-1.23,-2.49,-1.92,-0.58
003,2011,12.64,6.75,49.4,56.4,55.5,44.9,92.8,89.4,90.33,4.02,3.3,2.41,3.24,-0.93,-1.65,-0.52,4.1
003,2012,9.63,16.27,48.4,59.4,57.5,45.3,96,90.7,92.07,-3.78,-4.42,-5.11,-4.44,-3.09,-3.44,-3.15,-3.13
003,2013,10.84,4.07,43.9,55.4,60.8,48.9,85.2,85.4,85.5,0.75,0.71,0.73,0.73,0.13,0.27,0.88,-2.56
003,2014,5.41,8.76,46.9,57.9,56.6,48.3,84.9,88.2,86.07,0.91,0.91,0.85,0.89,0.28,0.09,0.6,0.49
003,2015,13.85,5.08,48.3,57.7,59.7,46.5,88.3,86.1,86.77,0.57,2.33,2.23,1.71,5.46,0.43,1.86,0.74
003,2016,11.73,14.18,46.7,54.1,61,51.4,89.2,87.5,88.6,0.65,1.66,2.53,1.61,3.24,3.12,1.32,1.61
003,2017,7.21,7.62,51,56,58.9,48.8,89.6,84.8,86.8,-0.08,-0.4,-0.72,-0.4,-0.99,-1.08,-0.77,1.15
003,2018,15.92,6.22,39.5,63,64.4,49.4,89.8,86.8,88.77,1.78,1.15,1.01,1.31,-1.34,-0.07,0.2,1.23
003,2019,17.66,10.25,46.7,59,64.3,46.6,88.6,88.4,87.13,3.47,4.71,4.36,4.18,4.78,0.42,2.36,3.17
003,2020,17.59,6.91,44,55.1,59.5,45.6,91,85,87.57,2.9,2.81,3.12,2.94,0.63,1.8,0.72,3.32
003,2021,12.32,5.1,45.5,54.7,60.5,53.7,87.9,88,87.6,-0.66,0.91,-0.07,0.06,2.74,-0.21,0.54,-0.4
003,2022,15.88,6.95,45.7,59.1,58.1,43.4,91.5,88,89.53,-0.79,-1.07,-0.99,-0.95,-1.08,-0.1,-0.83,-0.39
003,2023,16.03,6.59,45.9,57,59.9,49.2,88.7,86.2,87.5,-2.42,1.58,3.16,0.77,4.73,5.25,2.49,-1.76
003,2024,9.76,2.05,50.2,61.6,61.7,47.5,87,89.1,87.8,1.25,1.52,0.99,1.25,1.2,-1.11,0.41,0.97
003,2025,10.7,9.87,49.7,57.5,60.1,51,89.4,87.2,87.5,2.19,2.6,-0.43,1.45,1.91,-1.29,1.16,1.38
005,1980,6.22,5.11,42.2,54.1,57.4,40.8,92.5,91.5,89.7,-2.18,-2.33,-2.03,-2.18,-1.11,0.16,-0.67,-2.04
005,1981,4.24,1.82,49.4,49.2,53.7,43.5,86.6,83.9,84.97,0.53,1.64,1.91,1.36,3.51,1.32,1.55,0.66
005,1982,10.18,4.05,39.7,58.5,55.3,44.6,86.5,83,82.67,1.7,2.31,2.44,2.15,2.36,1.1,1.74,1.24
005,1983,5.37,11.83,40.2,50.7,55.2,46.6,92,93.3,89.7,3.81,-0.8,-1.78,0.41,-2.4,-3.19,-1.29,3.61
005,1984,8.23,11.79,43.7,50.8,54.6,51.1,87.1,88.2,87.53,-0.89,-1.72,-1.91,-1.51,-2.75,-1.12,-2.18,0.05
005,1985,11.13,9.28,47.5,54.6,56.2,47.5,87.2,82.1,83.3,2.67,2.22,2.45,2.45,-0.52,1.38,1.12,2.06
005,1986,5.54,13.08,45.5,55.4,60.6,47.8,89.6,83.2,86.47,-2.09,0.9,0.6,-0.2,2.7,-0.61,0.18,-1.76
005,1987,4.55,3.33,42,58.6,56.1,38.7,88.1,87.3,87.77,-2.44,-1.96,-1.9,-2.1,0.7,-0.42,-0.41,-2.17
005,1988,10.41,11.43,41,52.1,57.1,39.2,90.1,91.3,90.03,-2.55,-2.58,-3.21,-2.78,-0.88,-2.69,-2.21,-1.71
